award;artist;song;certificat_gold_date;Certification_Xplatinum_date;release_date;genre;Type;certified_units
Xplatinum;HOOBASTANK;THE REASON;October 25, 2004;August 4, 2021;DECEMBER 9, 2003;POP;Digital;4 Million
Xplatinum;LIZZO;TRUTH HURTS;July 31, 2019;August 4, 2021;SEPTEMBER 19, 2017;R&B/HIP HOP;Digital;7 Million
Xplatinum;POLO G, STUNNA 4 VEGAS & NLE CHOPPA;GO STUPID (FEAT. MIKE WILL MADE-IT);May 6, 2020;August 4, 2021;FEBRUARY 14, 2020;R&B/HIP HOP;Digital;2 Million
Xplatinum;CARLY PEARCE AND LEE BRICE;I HOPE YOU'RE HAPPY NOW;April 16, 2020;August 3, 2021;SEPTEMBER 27, 2019;COUNTRY;Digital;2 Million
Xplatinum;BIG SEAN;BEWARE (FEAT. LIL WAYNE, JHENÉ AIKO);November 20, 2013;July 30, 2021;JUNE 25, 2013;R&B/HIP HOP;Digital;3 Million
Xplatinum;COLE SWINDELL;MIDDLE OF A MEMORY;January 4, 2017;July 30, 2021;MAY 2, 2016;COUNTRY;Digital;2 Million
Xplatinum;COLE SWINDELL;AIN'T WORTH THE WHISKEY;March 19, 2015;July 30, 2021;FEBRUARY 3, 2014;COUNTRY;Digital;2 Million
Xplatinum;YNW MELLY;223'S (FEAT. 9LOKKNINE);January 16, 2020;July 30, 2021;DECEMBER 19, 2018;R&B/HIP HOP;Digital;2 Million
Xplatinum;TWENTY ONE PILOTS;HEATHENS;September 22, 2016;July 29, 2021;JUNE 17, 2016;ALTERNATIVE;Digital;9 Million
Xplatinum;TEE GRIZZLEY;FIRST DAY OUT;August 3, 2017;July 28, 2021;NOVEMBER 7, 2016;R&B/HIP HOP;Digital;4 Million
Xplatinum;RUSS;WHAT THEY WANT;January 6, 2017;July 26, 2021;AUGUST 19, 2015;R&B/HIP HOP;Digital;4 Million
Xplatinum;H.E.R.;COULD'VE BEEN (FEAT. BRYSON TILLER);July 31, 2019;July 23, 2021;AUGUST 3, 2018;R&B/HIP HOP;Digital;2 Million
Xplatinum;BENNY BLANCO, JUICE WRLD;ROSES (WITH JUICE WRLD FEAT. BRENDON URIE);May 7, 2019;July 21, 2021;DECEMBER 5, 2018;POP;Digital;2 Million
Xplatinum;IR SAIS & RAUW ALEJANDRO;DREAM GIRL (REMIX);June 10, 2020;July 21, 2021;DECEMBER 6, 2019;LATIN;Latin;0.36 Million
Xplatinum;JHENE AIKO;TRIGGERED (FREESTYLE);July 30, 2019;July 21, 2021;MAY 18, 2019;R&B/HIP HOP;Digital;2 Million
Xplatinum;ROD WAVE;HEART ON ICE;January 23, 2020;July 21, 2021;MAY 31, 2019;R&B/HIP HOP;Digital;3 Million
Xplatinum;CARDI B;UP;July 14, 2021;July 14, 2021;FEBRUARY 5, 2021;R&B/HIP HOP;Digital;2 Million
Xplatinum;MONEY MAN;24 (FEAT. LIL BABY);October 20, 2020;July 13, 2021;AUGUST 14, 2020;R&B/HIP HOP;Digital;2 Million
Xplatinum;SAM HUNT;BODY LIKE A BACK ROAD;June 6, 2017;July 13, 2021;FEBRUARY 1, 2017;COUNTRY;Digital;9 Million
Xplatinum;SAM HUNT;BREAK UP IN A SMALL TOWN;September 3, 2015;July 13, 2021;AUGUST 12, 2014;COUNTRY;Digital;5 Million
Xplatinum;CARDI B;WAP (FEAT. MEGAN THEE STALLION);August 14, 2020;July 12, 2021;AUGUST 7, 2020;R&B/HIP HOP;Digital;6 Million
