artist;songs;year;country;genre;label
Czarface;Good Guys, Bad Guys;2021;US;Hip Hop;<Label 1089903 'Silver Age'>
Czarface;Today's Special;2021;US;Hip Hop;<Label 1089903 'Silver Age'>
Czarface;Karateka;2021;US;Hip Hop;<Label 1089903 'Silver Age'>
Czarface;Klyntar Czar;2021;US;Hip Hop;<Label 1089903 'Silver Age'>
Czarface;Brainfood;2021;US;Hip Hop;<Label 1089903 'Silver Age'>
Czarface;Czar Guitar Variant 62;2021;US;Hip Hop;<Label 1089903 'Silver Age'>
Czarface;Beat-Boxing;2021;US;Hip Hop;<Label 1089903 'Silver Age'>
Czarface;Young World (7L's Cabot St. Remix);2021;US;Hip Hop;<Label 1089903 'Silver Age'>
Goodie Mob;Free;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Thought Process;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Red Dog;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Dirty South;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Cell Therapy;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Sesame Street;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Guess Who;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Serenity Prayer;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Fighting;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Blood;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Live At The O.M.N.I.;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Goodie Bag;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Soul Food;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Funeral;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;I Didn't Ask To Come;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Rico;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;The Coming;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;Cee-Lo;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Goodie Mob;The Day After;2021;US;Hip Hop;<Label 2927 'LaFace Records'>
Benny (45);When Tony Met Sosa;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Overall;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Plug Talk;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Live By It;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Talkin' Back;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);No Instructions;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Longevity;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Survivor's Remorse;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Thanksgiving;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);When Tony Met Sosa;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Overall;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Plug Talk;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Live By It;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Talkin' Back;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);No Instructions;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Longevity;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Survivor's Remorse;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);When Tony Met Sosa (Instrumental);2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Overall (Instrumental);2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Plug Talk (Instrumental);2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Live By It (Instrumental);2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Talkin' Back (Instrumental);2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);No Instructions (Instrumental);2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Longevity (Instrumental);2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);Survivor's Remorse (Instrumental);2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
Benny (45);When Tony Met Sosa;2021;US;Hip Hop;<Label 1307309 'Black Soprano Family'>
