award;artist;song;certificat_gold_date;certification_platinum_date;certification_diamond_date;release_date;genre;type;certified_units;certificat_platinum_date;Certification_Xplatinum_date;Type
Diamond;MAROON 5;MOVES LIKE JAGGER (FEAT. CHRISTINA AGUILERA);August 30, 2011;August 30, 2011;July 1, 2021;JUNE 21, 2011;POP;Digital;10 Million;;;
Diamond;BRUNO MARS;JUST THE WAY YOU ARE;September 30, 2010;September 30, 2010;June 29, 2021;JULY 20, 2010;POP;Digital;13 Million;;;
Diamond;MYKE TOWERS & FARRUKO;SI SE DA;April 11, 2019;April 11, 2019;June 17, 2021;FEBRUARY 26, 2019;LATIN;Latin;0.66 Million;;;
Diamond;MYKE TOWERS, FARRUKO, ARCANGEL, ZION & SECH;SI SE DA (REMIX);December 13, 2019;December 13, 2019;June 17, 2021;AUGUST 2, 2019;LATIN;Latin;0.78 Million;;;
Diamond;NIO GARCIA, BRRAY, JUANKA, MYKE TOWERS, ANUEL AA;LA JEEPETA (REMIX);July 27, 2020;July 27, 2020;June 17, 2021;APRIL 24, 2020;LATIN;Latin;0.96 Million;;;
Diamond;AWOLNATION;SAIL;November 8, 2011;March 29, 2012;June 14, 2021;MAY 18, 2010;ROCK;Digital;10 Million;;;
Diamond;REIK;YA ME ENTERE;March 27, 2017;March 27, 2017;June 14, 2021;APRIL 8, 2016;LATIN;Latin;0.84 Million;;;
Diamond;BRUNO MARS;WHEN I WAS YOUR MAN;April 16, 2013;April 16, 2013;May 21, 2021;DECEMBER 3, 2012;POP;Digital;11 Million;;;
Diamond;BRUNO MARS;THAT'S WHAT I LIKE;March 30, 2017;March 30, 2017;May 21, 2021;NOVEMBER 18, 2016;POP;Digital;10 Million;;;
Diamond;YANDEL;ENCANTADORA;October 7, 2016;October 7, 2016;May 12, 2021;OCTOBER 2, 2015;LATIN;Latin;0.84 Million;;;
Diamond;YANDEL;EXPLÍCALE (FEAT. BAD BUNNY);June 13, 2018;June 13, 2018;May 12, 2021;AUGUST 11, 2017;LATIN;Latin;0.6 Million;;;
Diamond;GOTYE;SOMEBODY THAT I USED TO KNOW (FEAT. KIMBRA);March 16, 2012;June 8, 2012;May 6, 2021;JULY 5, 2011;ALTERNATIVE;Digital;14 Million;;;
Diamond;MAU Y RICKY, MANUEL TURIZO & CAMILO;DESCONOCIDOS;January 10, 2019;April 25, 2019;May 3, 2021;OCTOBER 12, 2018;LATIN;Latin;0.66 Million;;;
Diamond;TWENTY ONE PILOTS;STRESSED OUT;November 24, 2015;January 8, 2016;April 30, 2021;APRIL 28, 2015;ALTERNATIVE;Digital;10 Million;;;
Diamond;FLO RIDA;LOW (FEAT. T-PAIN);March 4, 2008;March 4, 2008;April 22, 2021;OCTOBER 9, 2007;R&B/HIP HOP;Digital;10 Million;;;
Diamond;POST MALONE;CONGRATULATIONS (FEAT. QUAVO);March 22, 2017;March 22, 2017;April 22, 2021;DECEMBER 9, 2016;R&B/HIP HOP;Digital;11 Million;;;
Diamond;BECKY G, NATTI NATASHA;SIN PIJAMA;May 8, 2018;May 8, 2018;April 16, 2021;APRIL 20, 2018;LATIN;Latin;2.28 Million;;;
Diamond;TRAIN;HEY, SOUL SISTER;January 5, 2010;January 27, 2010;April 7, 2021;AUGUST 11, 2009;UNASSIGNED;Digital;10 Million;;;
Diamond;KAROL G;BICHOTA;November 19, 2020;November 19, 2020;April 1, 2021;OCTOBER 23, 2020;LATIN;Latin;0.78 Million;;;
Diamond;KAROL G;AY, DIOS MIO!;August 3, 2020;September 10, 2020;April 1, 2021;JULY 9, 2020;LATIN;Latin;0.66 Million;;;
Diamond;KAROL G & NICKI MINAJ;TUSA;December 6, 2019;December 6, 2019;April 1, 2021;NOVEMBER 7, 2019;LATIN;Latin;2.1 Million;;;
Diamond;JUSTIN BIEBER;SORRY;November 13, 2015;November 13, 2015;March 29, 2021;OCTOBER 28, 2015;POP;Digital;10 Million;;;
Diamond;J BALVIN, DUA LIPA, BAD BUNNY, TAINY;UN DIA ( ONE DAY );August 3, 2020;August 3, 2020;March 12, 2021;JULY 23, 2020;LATIN;Latin;0.9 Million;;;
